Cleaned CSV Content:
SampleDate|pH|Salinity|Water Temperature|Algal Bloom Active
1955-02-24 00:00:00.000|7.9|35.63|24.6|0
1955-03-25 00:00:00.000|7.2|35.39|23.8|0
1955-03-28 00:00:00.000|8.05|35.5077777777778|19.9777777777778|0
1955-04-13 00:00:00.000|8.0|36.98|26.7|0
1955-04-14 00:00:00.000|7.85|36.675|26.35|0
1955-04-20 00:00:00.000|8.05|36.645|26.25|0
1955-04-26 00:00:00.000|7.96666666666667|36.083125|27.2|0
1955-05-18 00:00:00.000|7.9|38.03|29.0|0
1955-06-21 00:00:00.000|8.1|37.0|29.3|0
1955-06-29 00:00:00.000|7.85|36.55|30.0|0
1955-07-07 00:00:00.000|8.0|36.22|29.1|0
1955-07-18 00:00:00.000|8.0|34.0106666666667|31.0466666666667|0
1955-07-19 00:00:00.000|8.175|35.0583333333333|30.5076923076923|0
1955-07-20 00:00:00.000|8.2|34.9442105263158|30.6272727272727|0
1955-08-31 00:00:00.000|8.0|21.78|31.0|0
1955-09-06 00:00:00.000|8.2|32.5845|30.5444444444444|0
1955-09-07 00:00:00.000|7.4|15.12|28.0|0
1955-09-27 00:00:00.000|7.9|30.0285714285714|29.4428571428571|0
1955-09-28 00:00:00.000|8.075|33.4214285714286|30.1047619047619|0
1955-10-04 00:00:00.000|7.8|30.235|29.1|0
1955-11-01 00:00:00.000|8.05|33.7114285714286|23.1|0
1955-11-02 00:00:00.000|8.05|34.7476190476191|22.7142857142857|0
1955-11-29 00:00:00.000|7.9|33.9407692307692|19.3307692307692|0
1955-12-07 00:00:00.000|7.975|34.208125|21.40625|0
1955-12-08 00:00:00.000|7.875|34.054|20.34|0
1955-12-14 00:00:00.000|7.6|33.7466666666667|22.8166666666667|0
1955-12-21 00:00:00.000|7.85|35.37|19.0|0
1955-12-22 00:00:00.000|7.6|35.47|20.4|0
1955-12-28 00:00:00.000|8.0|34.292380952381|19.1380952380952|0
1956-01-10 00:00:00.000|7.96666666666667|33.1361538461539|13.1307692307692|0
1956-01-24 00:00:00.000|8.2|35.3766666666667|17.8333333333333|0
1956-01-25 00:00:00.000|8.2|35.4233333333333|18.1333333333333|0
1956-02-01 00:00:00.000|8.2|34.5871428571429|18.1380952380952|0
1956-02-07 00:00:00.000|8.05|35.8311111111111|23.1555555555556|0
1956-02-08 00:00:00.000|8.1|35.29|25.6|0
1956-02-23 00:00:00.000|7.8|36.3585714285714|21.3428571428571|0
1956-03-05 00:00:00.000|8.0|36.235|22.2|0
1956-03-07 00:00:00.000|8.1|34.67875|23.7375|0
1956-03-14 00:00:00.000|8.125|36.0466666666667|24.58|0
1956-03-15 00:00:00.000|8.0|35.7|22.3|0
1956-03-22 00:00:00.000|8.1|38.46|19.2|0
