SampleDate|pH|Salinity|Turbidity|Water Temperature|Algal Bloom Active
1954-02-05 00:00:00.000||33.93||21.2|0
1954-02-10 00:00:00.000||33.76||19.5|0
1954-02-19 00:00:00.000||33.4666666666667||18.4|0
1954-03-10 00:00:00.000||33.91||20|0
1954-03-22 00:00:00.000||33.25||22.4|0
1954-03-30 00:00:00.000||31.3542857142857||23.8|0
1954-04-02 00:00:00.000||25.525||26.35|0
1954-04-19 00:00:00.000||32.896|||0
1954-04-28 00:00:00.000||30.11||28.65|0
1954-04-30 00:00:00.000||34.12||28.25|0
1954-05-03 00:00:00.000||33.49||28.62|0
1954-05-07 00:00:00.000||34.33||27.7|0
1954-06-02 00:00:00.000||25.915||28.05|0
1954-06-11 00:00:00.000||29.5866666666667||31.2666666666667|0
1954-06-18 00:00:00.000||34.2333333333333|||0
1954-06-19 00:00:00.000||34.588||28.02|0
1954-06-24 00:00:00.000||34.43||33|0
1954-06-30 00:00:00.000||34.725||31|0
1954-07-23 00:00:00.000||32.66||30.7|0
1954-08-03 00:00:00.000||32.32||31.65|0
1954-08-11 00:00:00.000||34.7725||30.225|0
1954-08-17 00:00:00.000||32.47||32.3|0
1954-09-14 00:00:00.000||34.2875||29.1|0
1954-10-05 00:00:00.000||28.28||27.8|0
1954-10-12 00:00:00.000||33.585||27.7|0
1954-11-02 00:00:00.000||30.39||21.5|0
1954-11-24 00:00:00.000||29.62|||0
1954-11-26 00:00:00.000||32.5383333333333||21|0
1954-12-08 00:00:00.000||33.1271428571429||17.2571428571429|0
1954-12-22 00:00:00.000||32.95||15.95|0
1954-12-28 00:00:00.000||33.105||18.8|0
1954-12-31 00:00:00.000||34.215||20.3|0
1955-01-10 00:00:00.000||34.83||20.3|0
1955-01-20 00:00:00.000||32.8328571428571||16.8428571428571|0
1955-01-26 00:00:00.000||34.86||17.45|0
1955-02-01 00:00:00.000||33.284||15.45|0
1955-02-09 00:00:00.000||35.17||19.4|0
1955-02-10 00:00:00.000||34.04||18.3|0
1955-02-16 00:00:00.000||33.996||15.42|0
1955-02-17 00:00:00.000||35.17||16.2|0
1955-02-24 00:00:00.000|7.9|35.63||24.6|0
1955-03-01 00:00:00.000||35.32||22.7|0
1955-03-11 00:00:00.000||36.245||22.3|0
1955-03-17 00:00:00.000|7.9|||24.5|0
1955-03-25 00:00:00.000|7.2|35.39||23.8|0
1955-03-28 00:00:00.000|8.05|35.5077777777778||19.9777777777778|0
1955-04-05 00:00:00.000||34.0533333333333||23.6833333333333|0
1955-04-13 00:00:00.000|8|36.98||26.7|0
1955-04-14 00:00:00.000|7.85|36.675||26.35|0
1955-04-20 00:00:00.000|8.05|36.645||26.25|0
1955-04-26 00:00:00.000|7.96666666666667|36.083125||27.2|0
1955-04-28 00:00:00.000||35.71||25.3666666666667|0
1955-04-29 00:00:00.000||36.1||26|0
1955-05-05 00:00:00.000||36.76||24.9|0
1955-05-11 00:00:00.000||35.27||27.9333333333333|0
1955-05-18 00:00:00.000|7.9|38.03||29|0
1955-05-24 00:00:00.000||35.7046153846154||29.9769230769231|0
1955-05-25 00:00:00.000||35.7133333333333||30.7|0
1955-06-01 00:00:00.000||||28.8|0
1955-06-08 00:00:00.000||36.8677777777778||29.2666666666667|0
1955-06-10 00:00:00.000||36.07||28.95|0
1955-06-13 00:00:00.000||36.5575||29.7|0
